Index        V(G,GA)           V(D,DA)          TEMP          I(VDPROBE)       I(VGPROBE)       I(VSPROBE)       I(VBPROBE)
0          1.00000000e+00  -5.00000000e-02   2.70000000e+01  -5.00001000e-17   0.00000000e+00   5.00001000e-17   0.00000000e+00
1          9.90000000e-01  -5.00000000e-02   2.70000000e+01  -5.00002000e-17   0.00000000e+00   5.00002000e-17   0.00000000e+00
2          9.80000000e-01  -5.00000000e-02   2.70000000e+01  -5.00002000e-17   0.00000000e+00   5.00002000e-17   0.00000000e+00
3          9.70000000e-01  -5.00000000e-02   2.70000000e+01  -5.00003000e-17   0.00000000e+00   5.00003000e-17   0.00000000e+00
4          9.60000000e-01  -5.00000000e-02   2.70000000e+01  -5.00004000e-17   0.00000000e+00   5.00004000e-17   0.00000000e+00
5          9.50000000e-01  -5.00000000e-02   2.70000000e+01  -5.00005000e-17   0.00000000e+00   5.00005000e-17   0.00000000e+00
6          9.40000000e-01  -5.00000000e-02   2.70000000e+01  -5.00007000e-17   0.00000000e+00   5.00007000e-17   0.00000000e+00
7          9.30000000e-01  -5.00000000e-02   2.70000000e+01  -5.00009000e-17   0.00000000e+00   5.00009000e-17   0.00000000e+00
8          9.20000000e-01  -5.00000000e-02   2.70000000e+01  -5.00012000e-17   0.00000000e+00   5.00012000e-17   0.00000000e+00
9          9.10000000e-01  -5.00000000e-02   2.70000000e+01  -5.00016000e-17   0.00000000e+00   5.00016000e-17   0.00000000e+00
10         9.00000000e-01  -5.00000000e-02   2.70000000e+01  -5.00020000e-17   0.00000000e+00   5.00020000e-17   0.00000000e+00
11         8.90000000e-01  -5.00000000e-02   2.70000000e+01  -5.00027000e-17   0.00000000e+00   5.00027000e-17   0.00000000e+00
12         8.80000000e-01  -5.00000000e-02   2.70000000e+01  -5.00035000e-17   0.00000000e+00   5.00035000e-17   0.00000000e+00
13         8.70000000e-01  -5.00000000e-02   2.70000000e+01  -5.00045000e-17   0.00000000e+00   5.00045000e-17   0.00000000e+00
14         8.60000000e-01  -5.00000000e-02   2.70000000e+01  -5.00059000e-17   0.00000000e+00   5.00059000e-17   0.00000000e+00
15         8.50000000e-01  -5.00000000e-02   2.70000000e+01  -5.00078000e-17   0.00000000e+00   5.00078000e-17   0.00000000e+00
16         8.40000000e-01  -5.00000000e-02   2.70000000e+01  -5.00101000e-17   0.00000000e+00   5.00101000e-17   0.00000000e+00
17         8.30000000e-01  -5.00000000e-02   2.70000000e+01  -5.00133000e-17   0.00000000e+00   5.00133000e-17   0.00000000e+00
18         8.20000000e-01  -5.00000000e-02   2.70000000e+01  -5.00174000e-17   0.00000000e+00   5.00174000e-17   0.00000000e+00
19         8.10000000e-01  -5.00000000e-02   2.70000000e+01  -5.00227000e-17   0.00000000e+00   5.00227000e-17   0.00000000e+00
20         8.00000000e-01  -5.00000000e-02   2.70000000e+01  -5.00297000e-17   0.00000000e+00   5.00297000e-17   0.00000000e+00
21         7.90000000e-01  -5.00000000e-02   2.70000000e+01  -5.00389000e-17   0.00000000e+00   5.00389000e-17   0.00000000e+00
22         7.80000000e-01  -5.00000000e-02   2.70000000e+01  -5.00510000e-17   0.00000000e+00   5.00510000e-17   0.00000000e+00
23         7.70000000e-01  -5.00000000e-02   2.70000000e+01  -5.00667000e-17   0.00000000e+00   5.00667000e-17   0.00000000e+00
24         7.60000000e-01  -5.00000000e-02   2.70000000e+01  -5.00874000e-17   0.00000000e+00   5.00874000e-17   0.00000000e+00
25         7.50000000e-01  -5.00000000e-02   2.70000000e+01  -5.01145000e-17   0.00000000e+00   5.01145000e-17   0.00000000e+00
26         7.40000000e-01  -5.00000000e-02   2.70000000e+01  -5.01501000e-17   0.00000000e+00   5.01501000e-17   0.00000000e+00
27         7.30000000e-01  -5.00000000e-02   2.70000000e+01  -5.01967000e-17   0.00000000e+00   5.01967000e-17   0.00000000e+00
28         7.20000000e-01  -5.00000000e-02   2.70000000e+01  -5.02579000e-17   0.00000000e+00   5.02579000e-17   0.00000000e+00
29         7.10000000e-01  -5.00000000e-02   2.70000000e+01  -5.03382000e-17   0.00000000e+00   5.03382000e-17   0.00000000e+00
30         7.00000000e-01  -5.00000000e-02   2.70000000e+01  -5.04435000e-17   0.00000000e+00   5.04435000e-17   0.00000000e+00
31         6.90000000e-01  -5.00000000e-02   2.70000000e+01  -5.05817000e-17   0.00000000e+00   5.05817000e-17   0.00000000e+00
32         6.80000000e-01  -5.00000000e-02   2.70000000e+01  -5.07632000e-17   0.00000000e+00   5.07632000e-17   0.00000000e+00
33         6.70000000e-01  -5.00000000e-02   2.70000000e+01  -5.10015000e-17   0.00000000e+00   5.10015000e-17   0.00000000e+00
34         6.60000000e-01  -5.00000000e-02   2.70000000e+01  -5.13145000e-17   0.00000000e+00   5.13145000e-17   0.00000000e+00
35         6.50000000e-01  -5.00000000e-02   2.70000000e+01  -5.17256000e-17   0.00000000e+00   5.17256000e-17   0.00000000e+00
36         6.40000000e-01  -5.00000000e-02   2.70000000e+01  -5.22657000e-17   0.00000000e+00   5.22657000e-17   0.00000000e+00
37         6.30000000e-01  -5.00000000e-02   2.70000000e+01  -5.29753000e-17   0.00000000e+00   5.29753000e-17   0.00000000e+00
38         6.20000000e-01  -5.00000000e-02   2.70000000e+01  -5.39080000e-17   0.00000000e+00   5.39080000e-17   0.00000000e+00
39         6.10000000e-01  -5.00000000e-02   2.70000000e+01  -5.51338000e-17   0.00000000e+00   5.51338000e-17   0.00000000e+00
40         6.00000000e-01  -5.00000000e-02   2.70000000e+01  -5.67454000e-17   0.00000000e+00   5.67454000e-17   0.00000000e+00
41         5.90000000e-01  -5.00000000e-02   2.70000000e+01  -5.88645000e-17   0.00000000e+00   5.88645000e-17   0.00000000e+00
42         5.80000000e-01  -5.00000000e-02   2.70000000e+01  -6.16513000e-17   0.00000000e+00   6.16513000e-17   0.00000000e+00
43         5.70000000e-01  -5.00000000e-02   2.70000000e+01  -6.53168000e-17   0.00000000e+00   6.53168000e-17   0.00000000e+00
44         5.60000000e-01  -5.00000000e-02   2.70000000e+01  -7.01388000e-17   0.00000000e+00   7.01388000e-17   0.00000000e+00
45         5.50000000e-01  -5.00000000e-02   2.70000000e+01  -7.64834000e-17   0.00000000e+00   7.64834000e-17   0.00000000e+00
46         5.40000000e-01  -5.00000000e-02   2.70000000e+01  -8.48326000e-17   0.00000000e+00   8.48326000e-17   0.00000000e+00
47         5.30000000e-01  -5.00000000e-02   2.70000000e+01  -9.58214000e-17   0.00000000e+00   9.58214000e-17   0.00000000e+00
48         5.20000000e-01  -5.00000000e-02   2.70000000e+01  -1.10286800e-16   0.00000000e+00   1.10286800e-16   0.00000000e+00
49         5.10000000e-01  -5.00000000e-02   2.70000000e+01  -1.29331400e-16   0.00000000e+00   1.29331400e-16   0.00000000e+00
50         5.00000000e-01  -5.00000000e-02   2.70000000e+01  -1.54408900e-16   0.00000000e+00   1.54408900e-16   0.00000000e+00
51         4.90000000e-01  -5.00000000e-02   2.70000000e+01  -1.87435200e-16   0.00000000e+00   1.87435200e-16   0.00000000e+00
52         4.80000000e-01  -5.00000000e-02   2.70000000e+01  -2.30936700e-16   0.00000000e+00   2.30936700e-16   0.00000000e+00
53         4.70000000e-01  -5.00000000e-02   2.70000000e+01  -2.88244000e-16   0.00000000e+00   2.88244000e-16   0.00000000e+00
54         4.60000000e-01  -5.00000000e-02   2.70000000e+01  -3.63750200e-16   0.00000000e+00   3.63750200e-16   0.00000000e+00
55         4.50000000e-01  -5.00000000e-02   2.70000000e+01  -4.63248900e-16   0.00000000e+00   4.63248900e-16   0.00000000e+00
56         4.40000000e-01  -5.00000000e-02   2.70000000e+01  -5.94382900e-16   0.00000000e+00   5.94382900e-16   0.00000000e+00
57         4.30000000e-01  -5.00000000e-02   2.70000000e+01  -7.67235600e-16   0.00000000e+00   7.67235600e-16   0.00000000e+00
58         4.20000000e-01  -5.00000000e-02   2.70000000e+01  -9.95111700e-16   0.00000000e+00   9.95111700e-16   0.00000000e+00
59         4.10000000e-01  -5.00000000e-02   2.70000000e+01  -1.29560000e-15   0.00000000e+00   1.29560000e-15   0.00000000e+00
60         4.00000000e-01  -5.00000000e-02   2.70000000e+01  -1.69180000e-15   0.00000000e+00   1.69180000e-15   0.00000000e+00
61         3.90000000e-01  -5.00000000e-02   2.70000000e+01  -2.21430000e-15   0.00000000e+00   2.21430000e-15   0.00000000e+00
62         3.80000000e-01  -5.00000000e-02   2.70000000e+01  -2.90360000e-15   0.00000000e+00   2.90360000e-15   0.00000000e+00
63         3.70000000e-01  -5.00000000e-02   2.70000000e+01  -3.81290000e-15   0.00000000e+00   3.81290000e-15   0.00000000e+00
64         3.60000000e-01  -5.00000000e-02   2.70000000e+01  -5.01270000e-15   0.00000000e+00   5.01270000e-15   0.00000000e+00
65         3.50000000e-01  -5.00000000e-02   2.70000000e+01  -6.59590000e-15   0.00000000e+00   6.59590000e-15   0.00000000e+00
66         3.40000000e-01  -5.00000000e-02   2.70000000e+01  -8.68540000e-15   0.00000000e+00   8.68540000e-15   0.00000000e+00
67         3.30000000e-01  -5.00000000e-02   2.70000000e+01  -1.14435000e-14   0.00000000e+00   1.14435000e-14   0.00000000e+00
68         3.20000000e-01  -5.00000000e-02   2.70000000e+01  -1.50839000e-14   0.00000000e+00   1.50839000e-14   0.00000000e+00
69         3.10000000e-01  -5.00000000e-02   2.70000000e+01  -1.98917000e-14   0.00000000e+00   1.98917000e-14   0.00000000e+00
70         3.00000000e-01  -5.00000000e-02   2.70000000e+01  -2.62388000e-14   0.00000000e+00   2.62388000e-14   0.00000000e+00
71         2.90000000e-01  -5.00000000e-02   2.70000000e+01  -3.46212000e-14   0.00000000e+00   3.46212000e-14   0.00000000e+00
72         2.80000000e-01  -5.00000000e-02   2.70000000e+01  -4.56921000e-14   0.00000000e+00   4.56921000e-14   0.00000000e+00
73         2.70000000e-01  -5.00000000e-02   2.70000000e+01  -6.03168000e-14   0.00000000e+00   6.03168000e-14   0.00000000e+00
74         2.60000000e-01  -5.00000000e-02   2.70000000e+01  -7.96381000e-14   0.00000000e+00   7.96381000e-14   0.00000000e+00
75         2.50000000e-01  -5.00000000e-02   2.70000000e+01  -1.05166500e-13   0.00000000e+00   1.05166500e-13   0.00000000e+00
76         2.40000000e-01  -5.00000000e-02   2.70000000e+01  -1.38900900e-13   0.00000000e+00   1.38900900e-13   0.00000000e+00
77         2.30000000e-01  -5.00000000e-02   2.70000000e+01  -1.83483700e-13   0.00000000e+00   1.83483700e-13   0.00000000e+00
78         2.20000000e-01  -5.00000000e-02   2.70000000e+01  -2.42410900e-13   0.00000000e+00   2.42410900e-13   0.00000000e+00
79         2.10000000e-01  -5.00000000e-02   2.70000000e+01  -3.20308500e-13   0.00000000e+00   3.20308500e-13   0.00000000e+00
80         2.00000000e-01  -5.00000000e-02   2.70000000e+01  -4.23293000e-13   0.00000000e+00   4.23293000e-13   0.00000000e+00
81         1.90000000e-01  -5.00000000e-02   2.70000000e+01  -5.59461700e-13   0.00000000e+00   5.59461700e-13   0.00000000e+00
82         1.80000000e-01  -5.00000000e-02   2.70000000e+01  -7.39527600e-13   0.00000000e+00   7.39527600e-13   0.00000000e+00
83         1.70000000e-01  -5.00000000e-02   2.70000000e+01  -9.77668800e-13   0.00000000e+00   9.77668800e-13   0.00000000e+00
84         1.60000000e-01  -5.00000000e-02   2.70000000e+01  -1.29270000e-12   0.00000000e+00   1.29270000e-12   0.00000000e+00
85         1.50000000e-01  -5.00000000e-02   2.70000000e+01  -1.70930000e-12   0.00000000e+00   1.70930000e-12   0.00000000e+00
86         1.40000000e-01  -5.00000000e-02   2.70000000e+01  -2.26060000e-12   0.00000000e+00   2.26060000e-12   0.00000000e+00
87         1.30000000e-01  -5.00000000e-02   2.70000000e+01  -2.98990000e-12   0.00000000e+00   2.98990000e-12   0.00000000e+00
88         1.20000000e-01  -5.00000000e-02   2.70000000e+01  -3.95510000e-12   0.00000000e+00   3.95510000e-12   0.00000000e+00
89         1.10000000e-01  -5.00000000e-02   2.70000000e+01  -5.23230000e-12   0.00000000e+00   5.23230000e-12   0.00000000e+00
90         1.00000000e-01  -5.00000000e-02   2.70000000e+01  -6.92290000e-12   0.00000000e+00   6.92290000e-12   0.00000000e+00
91         9.00000000e-02  -5.00000000e-02   2.70000000e+01  -9.16060000e-12   0.00000000e+00   9.16060000e-12   0.00000000e+00
92         8.00000000e-02  -5.00000000e-02   2.70000000e+01  -1.21230000e-11   0.00000000e+00   1.21230000e-11   0.00000000e+00
93         7.00000000e-02  -5.00000000e-02   2.70000000e+01  -1.60452000e-11   0.00000000e+00   1.60452000e-11   0.00000000e+00
94         6.00000000e-02  -5.00000000e-02   2.70000000e+01  -2.12387000e-11   0.00000000e+00   2.12387000e-11   0.00000000e+00
95         5.00000000e-02  -5.00000000e-02   2.70000000e+01  -2.81162000e-11   0.00000000e+00   2.81162000e-11   0.00000000e+00
96         4.00000000e-02  -5.00000000e-02   2.70000000e+01  -3.72246000e-11   0.00000000e+00   3.72246000e-11   0.00000000e+00
97         3.00000000e-02  -5.00000000e-02   2.70000000e+01  -4.92891000e-11   0.00000000e+00   4.92891000e-11   0.00000000e+00
98         2.00000000e-02  -5.00000000e-02   2.70000000e+01  -6.52705000e-11   0.00000000e+00   6.52705000e-11   0.00000000e+00
99         1.00000000e-02  -5.00000000e-02   2.70000000e+01  -8.64426000e-11   0.00000000e+00   8.64426000e-11   0.00000000e+00
100        0.00000000e+00  -5.00000000e-02   2.70000000e+01  -1.14494300e-10   0.00000000e+00   1.14494300e-10   0.00000000e+00
101       -1.00000000e-02  -5.00000000e-02   2.70000000e+01  -1.51664700e-10   0.00000000e+00   1.51664700e-10   0.00000000e+00
102       -2.00000000e-02  -5.00000000e-02   2.70000000e+01  -2.00922800e-10   0.00000000e+00   2.00922800e-10   0.00000000e+00
103       -3.00000000e-02  -5.00000000e-02   2.70000000e+01  -2.66205800e-10   0.00000000e+00   2.66205800e-10   0.00000000e+00
104       -4.00000000e-02  -5.00000000e-02   2.70000000e+01  -3.52735700e-10   0.00000000e+00   3.52735700e-10   0.00000000e+00
105       -5.00000000e-02  -5.00000000e-02   2.70000000e+01  -4.67438300e-10   0.00000000e+00   4.67438300e-10   0.00000000e+00
106       -6.00000000e-02  -5.00000000e-02   2.70000000e+01  -6.19501000e-10   0.00000000e+00   6.19501000e-10   0.00000000e+00
107       -7.00000000e-02  -5.00000000e-02   2.70000000e+01  -8.21111300e-10   0.00000000e+00   8.21111300e-10   0.00000000e+00
108       -8.00000000e-02  -5.00000000e-02   2.70000000e+01  -1.08840000e-09   0.00000000e+00   1.08840000e-09   0.00000000e+00
109       -9.00000000e-02  -5.00000000e-02   2.70000000e+01  -1.44290000e-09   0.00000000e+00   1.44290000e-09   0.00000000e+00
110       -1.00000000e-01  -5.00000000e-02   2.70000000e+01  -1.91310000e-09   0.00000000e+00   1.91310000e-09   0.00000000e+00
111       -1.10000000e-01  -5.00000000e-02   2.70000000e+01  -2.53660000e-09   0.00000000e+00   2.53660000e-09   0.00000000e+00
112       -1.20000000e-01  -5.00000000e-02   2.70000000e+01  -3.36370000e-09   0.00000000e+00   3.36370000e-09   0.00000000e+00
113       -1.30000000e-01  -5.00000000e-02   2.70000000e+01  -4.46100000e-09   0.00000000e+00   4.46100000e-09   0.00000000e+00
114       -1.40000000e-01  -5.00000000e-02   2.70000000e+01  -5.91660000e-09   0.00000000e+00   5.91660000e-09   0.00000000e+00
115       -1.50000000e-01  -5.00000000e-02   2.70000000e+01  -7.84790000e-09   0.00000000e+00   7.84790000e-09   0.00000000e+00
116       -1.60000000e-01  -5.00000000e-02   2.70000000e+01  -1.04105000e-08   0.00000000e+00   1.04105000e-08   0.00000000e+00
117       -1.70000000e-01  -5.00000000e-02   2.70000000e+01  -1.38111000e-08   0.00000000e+00   1.38111000e-08   0.00000000e+00
118       -1.80000000e-01  -5.00000000e-02   2.70000000e+01  -1.83238000e-08   0.00000000e+00   1.83238000e-08   0.00000000e+00
119       -1.90000000e-01  -5.00000000e-02   2.70000000e+01  -2.43129000e-08   0.00000000e+00   2.43129000e-08   0.00000000e+00
120       -2.00000000e-01  -5.00000000e-02   2.70000000e+01  -3.22617000e-08   0.00000000e+00   3.22617000e-08   0.00000000e+00
121       -2.10000000e-01  -5.00000000e-02   2.70000000e+01  -4.28118000e-08   0.00000000e+00   4.28118000e-08   0.00000000e+00
122       -2.20000000e-01  -5.00000000e-02   2.70000000e+01  -5.68149000e-08   0.00000000e+00   5.68149000e-08   0.00000000e+00
123       -2.30000000e-01  -5.00000000e-02   2.70000000e+01  -7.54009000e-08   0.00000000e+00   7.54009000e-08   0.00000000e+00
124       -2.40000000e-01  -5.00000000e-02   2.70000000e+01  -1.00068900e-07   0.00000000e+00   1.00068900e-07   0.00000000e+00
125       -2.50000000e-01  -5.00000000e-02   2.70000000e+01  -1.32807000e-07   0.00000000e+00   1.32807000e-07   0.00000000e+00
126       -2.60000000e-01  -5.00000000e-02   2.70000000e+01  -1.76249600e-07   0.00000000e+00   1.76249600e-07   0.00000000e+00
127       -2.70000000e-01  -5.00000000e-02   2.70000000e+01  -2.33885900e-07   0.00000000e+00   2.33885900e-07   0.00000000e+00
128       -2.80000000e-01  -5.00000000e-02   2.70000000e+01  -3.10331400e-07   0.00000000e+00   3.10331400e-07   0.00000000e+00
129       -2.90000000e-01  -5.00000000e-02   2.70000000e+01  -4.11683600e-07   0.00000000e+00   4.11683600e-07   0.00000000e+00
130       -3.00000000e-01  -5.00000000e-02   2.70000000e+01  -5.45981700e-07   0.00000000e+00   5.45981700e-07   0.00000000e+00
131       -3.10000000e-01  -5.00000000e-02   2.70000000e+01  -7.23798700e-07   0.00000000e+00   7.23798700e-07   0.00000000e+00
132       -3.20000000e-01  -5.00000000e-02   2.70000000e+01  -9.58992400e-07   0.00000000e+00   9.58992400e-07   0.00000000e+00
133       -3.30000000e-01  -5.00000000e-02   2.70000000e+01  -1.26960000e-06   0.00000000e+00   1.26960000e-06   0.00000000e+00
134       -3.40000000e-01  -5.00000000e-02   2.70000000e+01  -1.67920000e-06   0.00000000e+00   1.67920000e-06   0.00000000e+00
135       -3.50000000e-01  -5.00000000e-02   2.70000000e+01  -2.21790000e-06   0.00000000e+00   2.21790000e-06   0.00000000e+00
