Index      V(G,GA)           V(D,DA)            TEMP           I(VDPROBE)        I(VGPROBE)        I(VSPROBE)        I(VBPROBE)    
0       -1.00000000e+00    5.00000000e-02    2.70000000e+01    1.94176964e-04   -9.92961245e-10    4.72516879e-10   -1.94176444e-04
1       -9.90000000e-01    5.00000000e-02    2.70000000e+01    1.94176953e-04   -9.71137412e-10    4.61791993e-10   -1.94176444e-04
2       -9.80000000e-01    5.00000000e-02    2.70000000e+01    1.94176942e-04   -9.49690610e-10    4.51261724e-10   -1.94176444e-04
3       -9.70000000e-01    5.00000000e-02    2.70000000e+01    1.94176931e-04   -9.28613719e-10    4.40922337e-10   -1.94176444e-04
4       -9.60000000e-01    5.00000000e-02    2.70000000e+01    1.94176921e-04   -9.07898100e-10    4.30769334e-10   -1.94176444e-04
5       -9.50000000e-01    5.00000000e-02    2.70000000e+01    1.94176911e-04   -8.87534240e-10    4.20797776e-10   -1.94176444e-04
6       -9.40000000e-01    5.00000000e-02    2.70000000e+01    1.94176900e-04   -8.67512282e-10    4.11002549e-10   -1.94176444e-04
7       -9.30000000e-01    5.00000000e-02    2.70000000e+01    1.94176890e-04   -8.47822413e-10    4.01378561e-10   -1.94176444e-04
8       -9.20000000e-01    5.00000000e-02    2.70000000e+01    1.94176880e-04   -8.28455162e-10    3.91920884e-10   -1.94176444e-04
9       -9.10000000e-01    5.00000000e-02    2.70000000e+01    1.94176871e-04   -8.09401586e-10    3.82624858e-10   -1.94176444e-04
10      -9.00000000e-01    5.00000000e-02    2.70000000e+01    1.94176861e-04   -7.90653401e-10    3.73486145e-10   -1.94176444e-04
11      -8.90000000e-01    5.00000000e-02    2.70000000e+01    1.94176851e-04   -7.72203039e-10    3.64500765e-10   -1.94176444e-04
12      -8.80000000e-01    5.00000000e-02    2.70000000e+01    1.94176842e-04   -7.54043668e-10    3.55665106e-10   -1.94176444e-04
13      -8.70000000e-01    5.00000000e-02    2.70000000e+01    1.94176833e-04   -7.36169185e-10    3.46975916e-10   -1.94176444e-04
14      -8.60000000e-01    5.00000000e-02    2.70000000e+01    1.94176824e-04   -7.18574176e-10    3.38430291e-10   -1.94176444e-04
15      -8.50000000e-01    5.00000000e-02    2.70000000e+01    1.94176815e-04   -7.01253876e-10    3.30025644e-10   -1.94176444e-04
16      -8.40000000e-01    5.00000000e-02    2.70000000e+01    1.94176806e-04   -6.84204107e-10    3.21759686e-10   -1.94176444e-04
17      -8.30000000e-01    5.00000000e-02    2.70000000e+01    1.94176798e-04   -6.67421224e-10    3.13630391e-10   -1.94176444e-04
18      -8.20000000e-01    5.00000000e-02    2.70000000e+01    1.94176789e-04   -6.50902052e-10    3.05635968e-10   -1.94176444e-04
19      -8.10000000e-01    5.00000000e-02    2.70000000e+01    1.94176781e-04   -6.34643832e-10    2.97774835e-10   -1.94176444e-04
20      -8.00000000e-01    5.00000000e-02    2.70000000e+01    1.94176772e-04   -6.18644160e-10    2.90045586e-10   -1.94176444e-04
21      -7.90000000e-01    5.00000000e-02    2.70000000e+01    1.94176764e-04   -6.02900940e-10    2.82446968e-10   -1.94176444e-04
22      -7.80000000e-01    5.00000000e-02    2.70000000e+01    1.94176756e-04   -5.87412334e-10    2.74977860e-10   -1.94176444e-04
23      -7.70000000e-01    5.00000000e-02    2.70000000e+01    1.94176748e-04   -5.72176718e-10    2.67637245e-10   -1.94176444e-04
24      -7.60000000e-01    5.00000000e-02    2.70000000e+01    1.94176741e-04   -5.57192646e-10    2.60424197e-10   -1.94176444e-04
25      -7.50000000e-01    5.00000000e-02    2.70000000e+01    1.94176733e-04   -5.42458811e-10    2.53337860e-10   -1.94176444e-04
26      -7.40000000e-01    5.00000000e-02    2.70000000e+01    1.94176725e-04   -5.27974013e-10    2.46377432e-10   -1.94176444e-04
27      -7.30000000e-01    5.00000000e-02    2.70000000e+01    1.94176718e-04   -5.13737135e-10    2.39542153e-10   -1.94176444e-04
