Index       TIME             V(IN0)            V(OUT)      
0        0.00000000e+00   -6.50000000e-02   -6.50000000e-02
1        5.00000000e-05   -5.99723195e-02   -6.50000000e-02
2        1.00000000e-04   -5.78930742e-02   -6.50000000e-02
3        1.50000000e-04   -5.62271668e-02   -6.50000000e-02
4        2.00000000e-04   -5.49581891e-02   -6.50000000e-02
5        2.50000000e-04   -5.36892115e-02   -6.50000000e-02
6        3.00000000e-04   -5.25769734e-02   -6.50000000e-02
7        3.50000000e-04   -5.16199515e-02   -6.49999999e-02
8        4.00000000e-04   -5.06629295e-02   -6.49999999e-02
9        4.50000000e-04   -4.98186784e-02   -6.49999996e-02
10       5.00000000e-04   -4.90112868e-02   -6.49999992e-02
11       5.50000000e-04   -4.82043715e-02   -6.49999988e-02
12       6.00000000e-04   -4.74944997e-02   -6.49999965e-02
13       6.50000000e-04   -4.67846279e-02   -6.49999942e-02
14       7.00000000e-04   -4.60926185e-02   -6.49999899e-02
15       7.50000000e-04   -4.54524933e-02   -6.49999796e-02
16       8.00000000e-04   -4.48123681e-02   -6.49999693e-02
17       8.50000000e-04   -4.41992045e-02   -6.49999461e-02
18       9.00000000e-04   -4.36122238e-02   -6.49999104e-02
19       9.50000000e-04   -4.30252432e-02   -6.49998746e-02
20       1.00000000e-03   -4.24825758e-02   -6.49997071e-02
21       1.05000000e-03   -4.19540139e-02   -6.49994976e-02
22       1.10000000e-03   -4.14254519e-02   -6.49992881e-02
23       1.15000000e-03   -4.08968899e-02   -6.49990787e-02
24       1.20000000e-03   -4.03683279e-02   -6.49988692e-02
25       1.25000000e-03   -3.98554386e-02   -6.49985040e-02
26       1.30000000e-03   -3.93869275e-02   -6.49976978e-02
27       1.35000000e-03   -3.89184165e-02   -6.49968917e-02
28       1.40000000e-03   -3.84499055e-02   -6.49960855e-02
29       1.45000000e-03   -3.79813944e-02   -6.49952794e-02
30       1.50000000e-03   -3.75128834e-02   -6.49944732e-02
31       1.55000000e-03   -3.70780034e-02   -6.49926538e-02
32       1.60000000e-03   -3.66535449e-02   -6.49905204e-02
33       1.65000000e-03   -3.62290864e-02   -6.49883869e-02
34       1.70000000e-03   -3.58046279e-02   -6.49862535e-02
35       1.75000000e-03   -3.53801694e-02   -6.49841201e-02
36       1.80000000e-03   -3.49648276e-02   -6.49813790e-02
37       1.85000000e-03   -3.45746586e-02   -6.49769599e-02
38       1.90000000e-03   -3.41844897e-02   -6.49725409e-02
39       1.95000000e-03   -3.37943208e-02   -6.49681218e-02
40       2.00000000e-03   -3.34041519e-02   -6.49637027e-02
41       2.05000000e-03   -3.30139829e-02   -6.49592837e-02
