Index        V(4)             V(1)            I(VMON)
0       0.00000000e+00   1.00000000e+00   0.00000000e+00   
1       1.00000000e-02   1.00000000e+00   1.38663501e-14   
2       2.00000000e-02   1.00000000e+00   2.77327002e-14   
3       3.00000000e-02   1.00000000e+00   4.15990503e-14   
4       4.00000000e-02   1.00000000e+00   5.54654005e-14   
5       5.00000000e-02   1.00000000e+00   6.93317506e-14   
6       6.00000000e-02   1.00000000e+00   8.31981007e-14   
7       7.00000000e-02   1.00000000e+00   9.70644508e-14   
8       8.00000000e-02   1.00000000e+00   1.10930801e-13   
9       9.00000000e-02   1.00000000e+00   1.24797151e-13   
10      1.00000000e-01   1.00000000e+00   1.38663501e-13   
11      1.10000000e-01   1.00000000e+00   1.52529851e-13   
12      1.20000000e-01   1.00000000e+00   1.66396201e-13   
13      1.30000000e-01   1.00000000e+00   1.80262551e-13   
14      1.40000000e-01   1.00000000e+00   1.94128902e-13   
15      1.50000000e-01   1.00000000e+00   2.07995252e-13   
16      1.60000000e-01   1.00000000e+00   2.21861602e-13   
17      1.70000000e-01   1.00000000e+00   2.35727952e-13   
18      1.80000000e-01   1.00000000e+00   2.49594302e-13   
19      1.90000000e-01   1.00000000e+00   2.63460652e-13   
20      2.00000000e-01   1.00000000e+00   2.77327002e-13   
21      2.10000000e-01   1.00000000e+00   2.91193352e-13   
22      2.20000000e-01   1.00000000e+00   3.05059703e-13   
23      2.30000000e-01   1.00000000e+00   3.18926053e-13   
24      2.40000000e-01   1.00000000e+00   3.32792403e-13   
25      2.50000000e-01   1.00000000e+00   3.46658753e-13   
26      2.60000000e-01   1.00000000e+00   3.60525103e-13   
27      2.70000000e-01   1.00000000e+00   3.74391453e-13   
28      2.80000000e-01   1.00000000e+00   3.88257803e-13   
29      2.90000000e-01   1.00000000e+00   4.02124153e-13   
30      3.00000000e-01   1.00000000e+00   4.15990503e-13   
31      3.10000000e-01   1.00000000e+00   4.29856854e-13   
32      3.20000000e-01   1.00000000e+00   4.43723204e-13   
33      3.30000000e-01   1.00000000e+00   4.57589554e-13   
34      3.40000000e-01   1.00000000e+00   4.71455904e-13   
35      3.50000000e-01   1.00000000e+00   4.85322254e-13   
36      3.60000000e-01   1.00000000e+00   4.99188604e-13   
37      3.70000000e-01   1.00000000e+00   5.13054954e-13   
38      3.80000000e-01   1.00000000e+00   5.26921304e-13   
39      3.90000000e-01   1.00000000e+00   5.40787654e-13   
40      4.00000000e-01   1.00000000e+00   5.54654005e-13   
41      4.10000000e-01   1.00000000e+00   5.68520355e-13   
42      4.20000000e-01   1.00000000e+00   5.82386705e-13   
43      4.30000000e-01   1.00000000e+00   5.96253055e-13   
44      4.40000000e-01   1.00000000e+00   6.10119405e-13   
45      4.50000000e-01   1.00000000e+00   6.23985755e-13   
46      4.60000000e-01   1.00000000e+00   6.37852105e-13   
47      4.70000000e-01   1.00000000e+00   6.51718455e-13   
48      4.80000000e-01   1.00000000e+00   6.65584806e-13   
49      4.90000000e-01   1.00000000e+00   6.79451156e-13   
50      5.00000000e-01   1.00000000e+00   6.93317506e-13   
51      5.10000000e-01   1.00000000e+00   7.07183856e-13   
52      5.20000000e-01   1.00000000e+00   7.21050206e-13   
53      5.30000000e-01   1.00000000e+00   7.34916556e-13   
54      5.40000000e-01   1.00000000e+00   7.48782906e-13   
55      5.50000000e-01   1.00000000e+00   7.62649256e-13   
56      5.60000000e-01   1.00000000e+00   7.76515606e-13   
57      5.70000000e-01   1.00000000e+00   7.90381957e-13   
58      5.80000000e-01   1.00000000e+00   8.04248307e-13   
59      5.90000000e-01   1.00000000e+00   8.18114657e-13   
60      6.00000000e-01   1.00000000e+00   8.31981007e-13   
61      6.10000000e-01   1.00000000e+00   8.45847357e-13   
62      6.20000000e-01   1.00000000e+00   8.59713707e-13   
63      6.30000000e-01   1.00000000e+00   8.73580057e-13   
64      6.40000000e-01   1.00000000e+00   8.87446407e-13   
65      6.50000000e-01   1.00000000e+00   9.01312757e-13   
66      6.60000000e-01   1.00000000e+00   9.15179108e-13   
67      6.70000000e-01   1.00000000e+00   9.29045458e-13   
68      6.80000000e-01   1.00000000e+00   9.42911808e-13   
69      6.90000000e-01   1.00000000e+00   9.56778158e-13   
70      7.00000000e-01   1.00000000e+00   9.70644508e-13   
71      7.10000000e-01   1.00000000e+00   9.84510858e-13   
72      7.20000000e-01   1.00000000e+00   9.98377208e-13   
73      7.30000000e-01   1.00000000e+00   1.01224356e-12   
74      7.40000000e-01   1.00000000e+00   1.02610991e-12   
75      7.50000000e-01   1.00000000e+00   1.03997626e-12   
76      7.60000000e-01   1.00000000e+00   1.05384261e-12   
77      7.70000000e-01   1.00000000e+00   1.06770896e-12   
78      7.80000000e-01   1.00000000e+00   1.08157531e-12   
79      7.90000000e-01   1.00000000e+00   1.09544166e-12   
80      8.00000000e-01   1.00000000e+00   1.10930801e-12   
81      8.10000000e-01   1.00000000e+00   1.12317436e-12   
82      8.20000000e-01   1.00000000e+00   1.13704071e-12   
83      8.30000000e-01   1.00000000e+00   1.15090706e-12   
84      8.40000000e-01   1.00000000e+00   1.16477341e-12   
85      8.50000000e-01   1.00000000e+00   1.17863976e-12   
86      8.60000000e-01   1.00000000e+00   1.19250611e-12   
87      8.70000000e-01   1.00000000e+00   1.20637246e-12   
88      8.80000000e-01   1.00000000e+00   1.22023881e-12   
89      8.90000000e-01   1.00000000e+00   1.23410516e-12   
90      9.00000000e-01   1.00000000e+00   1.24797151e-12   
91      9.10000000e-01   1.00000000e+00   1.26183786e-12   
92      9.20000000e-01   1.00000000e+00   1.27570421e-12   
93      9.30000000e-01   1.00000000e+00   1.28957056e-12   
94      9.40000000e-01   1.00000000e+00   1.30343691e-12   
95      9.50000000e-01   1.00000000e+00   1.31730326e-12   
96      9.60000000e-01   1.00000000e+00   1.33116961e-12   
97      9.70000000e-01   1.00000000e+00   1.34503596e-12   
98      9.80000000e-01   1.00000000e+00   1.35890231e-12   
99      9.90000000e-01   1.00000000e+00   1.37276866e-12   
100     1.00000000e+00   1.00000000e+00   1.38663501e-12   
101     1.01000000e+00   1.00000000e+00   1.40050136e-12   
102     1.02000000e+00   1.00000000e+00   1.41436771e-12   
103     1.03000000e+00   1.00000000e+00   1.42823406e-12   
104     1.04000000e+00   1.00000000e+00   1.44210041e-12   
105     1.05000000e+00   1.00000000e+00   1.45596676e-12   
106     1.06000000e+00   1.00000000e+00   1.46983311e-12   
107     1.07000000e+00   1.00000000e+00   1.48369946e-12   
108     1.08000000e+00   1.00000000e+00   1.49756581e-12   
109     1.09000000e+00   1.00000000e+00   1.51143216e-12   
110     1.10000000e+00   1.00000000e+00   1.52529851e-12   
111     1.11000000e+00   1.00000000e+00   1.53916486e-12   
112     1.12000000e+00   1.00000000e+00   1.55303121e-12   
113     1.13000000e+00   1.00000000e+00   1.56689756e-12   
114     1.14000000e+00   1.00000000e+00   1.58076391e-12   
115     1.15000000e+00   1.00000000e+00   1.59463026e-12   
116     1.16000000e+00   1.00000000e+00   1.60849661e-12   
117     1.17000000e+00   1.00000000e+00   1.62236296e-12   
118     1.18000000e+00   1.00000000e+00   1.63622931e-12   
119     1.19000000e+00   1.00000000e+00   1.65009566e-12   
120     1.20000000e+00   1.00000000e+00   1.66396201e-12   
121     1.21000000e+00   1.00000000e+00   1.67782836e-12   
122     1.22000000e+00   1.00000000e+00   1.69169471e-12   
123     1.23000000e+00   1.00000000e+00   1.70556106e-12   
124     1.24000000e+00   1.00000000e+00   1.71942741e-12   
125     1.25000000e+00   1.00000000e+00   1.73329376e-12   
126     1.26000000e+00   1.00000000e+00   1.74716011e-12   
127     1.27000000e+00   1.00000000e+00   1.76102646e-12   
128     1.28000000e+00   1.00000000e+00   1.77489281e-12   
129     1.29000000e+00   1.00000000e+00   1.78875916e-12   
130     1.30000000e+00   1.00000000e+00   1.80262551e-12   
131     1.31000000e+00   1.00000000e+00   1.81649187e-12   
132     1.32000000e+00   1.00000000e+00   1.83035822e-12   
133     1.33000000e+00   1.00000000e+00   1.84422457e-12   
134     1.34000000e+00   1.00000000e+00   1.85809092e-12   
135     1.35000000e+00   1.00000000e+00   1.87195727e-12   
136     1.36000000e+00   1.00000000e+00   1.88582362e-12   
137     1.37000000e+00   1.00000000e+00   1.89968997e-12   
138     1.38000000e+00   1.00000000e+00   1.91355632e-12   
139     1.39000000e+00   1.00000000e+00   1.92742267e-12   
140     1.40000000e+00   1.00000000e+00   1.94128902e-12   
141     1.41000000e+00   1.00000000e+00   1.95515537e-12   
142     1.42000000e+00   1.00000000e+00   1.96902172e-12   
143     1.43000000e+00   1.00000000e+00   1.98288807e-12   
