Index       I(IA)             V(2)              V(4)              V(6)              V(8)       
0        0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
1        1.00000000e+00    1.00000000e+00    2.00000000e+00    5.00000000e-02    1.00000000e-01
2        2.00000000e+00    2.00000000e+00    4.00000000e+00    1.00000000e-01    2.00000000e-01
3        3.00000000e+00    3.00000000e+00    6.00000000e+00    1.50000000e-01    3.00000000e-01
4        4.00000000e+00    4.00000000e+00    8.00000000e+00    2.00000000e-01    4.00000000e-01
5        5.00000000e+00    5.00000000e+00    1.00000000e+01    2.50000000e-01    5.00000000e-01
6        6.00000000e+00    6.00000000e+00    1.20000000e+01    3.00000000e-01    6.00000000e-01
7        7.00000000e+00    7.00000000e+00    1.40000000e+01    3.50000000e-01    7.00000000e-01
8        8.00000000e+00    8.00000000e+00    1.60000000e+01    4.00000000e-01    8.00000000e-01
9        9.00000000e+00    9.00000000e+00    1.80000000e+01    4.50000000e-01    9.00000000e-01
10       1.00000000e+01    1.00000000e+01    2.00000000e+01    5.00000000e-01    1.00000000e+00
End of Xyce(TM) Simulation
