Index        TIME        {I(VSEU)+0.02}   {I(VAMP)+0.02}
0       0.00000000e+00   1.99999009e-02   2.00000991e-02   
1       5.00000000e-12   1.99999009e-02   2.00000991e-02   
2       1.50000000e-11   1.99999009e-02   2.00000991e-02   
3       3.50000000e-11   1.99999009e-02   2.00000991e-02   
4       7.50000000e-11   1.99999009e-02   2.00000991e-02   
5       1.55000000e-10   1.99999009e-02   2.00000991e-02   
6       2.55000000e-10   1.99999009e-02   2.00000991e-02   
7       3.55000000e-10   1.99999009e-02   2.00000991e-02   
8       4.55000000e-10   1.99999009e-02   2.00000991e-02   
9       5.55000000e-10   1.99999009e-02   2.00000991e-02   
10      6.55000000e-10   1.99999009e-02   2.00000991e-02   
11      7.55000000e-10   1.99999009e-02   2.00000991e-02   
12      8.55000000e-10   1.99999009e-02   2.00000991e-02   
13      9.55000000e-10   1.99999009e-02   2.00000991e-02   
14      1.00000000e-09   1.99999009e-02   2.00000991e-02   
15      1.00050000e-09   1.98445964e-02   2.00000925e-02   
16      1.00056250e-09   1.98253992e-02   2.00000918e-02   
17      1.00068750e-09   1.97877604e-02   2.00000904e-02   
18      1.00081250e-09   1.97508792e-02   2.00000893e-02   
19      1.00106250e-09   1.96800080e-02   2.00000875e-02   
20      1.00156250e-09   1.95489808e-02   2.00000861e-02   
21      1.00206250e-09   1.94277411e-02   2.00000865e-02   
22      1.00256250e-09   1.93150400e-02   2.00000886e-02   
23      1.00356250e-09   1.91051188e-02   2.00000960e-02   
24      1.00456250e-09   1.89265987e-02   2.00001114e-02   
25      1.00556250e-09   1.87586919e-02   2.00001322e-02   
26      1.00656250e-09   1.85977118e-02   2.00001595e-02   
27      1.00856250e-09   1.83000703e-02   2.00002446e-02   
28      1.01034221e-09   1.80354402e-02   2.00003589e-02   
29      1.01212192e-09   1.77726775e-02   2.00005297e-02   
30      1.01372366e-09   1.75357608e-02   2.00007524e-02   
31      1.01532539e-09   1.72996705e-02   2.00010722e-02   
32      1.01668993e-09   1.70976188e-02   2.00014487e-02   
33      1.01791802e-09   1.69155579e-02   2.00018999e-02   
34      1.01902329e-09   1.67515500e-02   2.00024258e-02   
35      1.02012857e-09   1.65878792e-02   2.00031012e-02   
36      1.02112332e-09   1.64404019e-02   2.00038688e-02   
37      1.02211806e-09   1.62931299e-02   2.00048304e-02   
38      1.02301334e-09   1.61604224e-02   2.00058985e-02   
39      1.02390861e-09   1.60278430e-02   2.00072069e-02   
40      1.02437015e-09   1.59591272e-02   2.00082751e-02   
41      1.02451473e-09   1.59376034e-02   2.00087899e-02   
42      1.02459016e-09   1.59264111e-02   2.00090660e-02   
43      1.02465805e-09   1.59163685e-02   2.00093191e-02   
44      1.02479383e-09   1.58964039e-02   2.00098399e-02   
45      1.02506540e-09   1.58569511e-02   2.00109406e-02   
46      1.02533696e-09   1.58179680e-02   2.00121171e-02   
47      1.02588009e-09   1.57418285e-02   2.00147247e-02   
48      1.02634251e-09   1.56782941e-02   2.00171999e-02   
49      1.02680493e-09   1.56160193e-02   2.00199245e-02   
50      1.02726736e-09   1.55549727e-02   2.00229084e-02   
51      1.02819220e-09   1.54356453e-02   2.00296449e-02   
52      1.02911705e-09   1.53206702e-02   2.00375043e-02   
53      1.03004189e-09   1.52100112e-02   2.00465630e-02   
54      1.03096674e-09   1.51035035e-02   2.00568853e-02   
55      1.03158330e-09   1.50347080e-02   2.00644957e-02   
56      1.03219987e-09   1.49676124e-02   2.00727080e-02   
57      1.03281643e-09   1.49021587e-02   2.00815386e-02   
58      1.03343300e-09   1.48382750e-02   2.00909917e-02   
59      1.03404956e-09   1.47759039e-02   2.01010841e-02   
60      1.03466612e-09   1.47149835e-02   2.01118288e-02   
61      1.03528269e-09   1.46554574e-02   2.01232198e-02   
62      1.03589925e-09   1.45972628e-02   2.01352729e-02   
63      1.03651582e-09   1.45403392e-02   2.01479970e-02   
64      1.03774895e-09   1.44301560e-02   2.01754389e-02   
65      1.03898207e-09   1.43244695e-02   2.02055895e-02   
66      1.04021520e-09   1.42228503e-02   2.02384872e-02   
67      1.04144833e-09   1.41249986e-02   2.02740128e-02   
68      1.04268146e-09   1.40304792e-02   2.03122118e-02   
69      1.04391459e-09   1.39388983e-02   2.03530797e-02   
70      1.04514771e-09   1.38501416e-02   2.03964573e-02   
71      1.04638084e-09   1.37637752e-02   2.04423622e-02   
72      1.04761397e-09   1.36794653e-02   2.04907566e-02   
73      1.04884710e-09   1.35971718e-02   2.05414446e-02   
