Index       R1:R              R2:R              V(1)              V(2)       
0        1.00000000e+00    3.00000000e+00    1.00000000e+00    7.50000000e-01
1        1.00000000e+00    3.00000000e+00    2.00000000e+00    1.50000000e+00
2        1.00000000e+00    3.00000000e+00    3.00000000e+00    2.25000000e+00
3        1.00000000e+00    3.00000000e+00    4.00000000e+00    3.00000000e+00
4        1.00000000e+00    3.00000000e+00    5.00000000e+00    3.75000000e+00
5        1.00000000e+00    3.00000000e+00    6.00000000e+00    4.50000000e+00
6        1.00000000e+00    3.00000000e+00    7.00000000e+00    5.25000000e+00
7        1.00000000e+00    3.00000000e+00    8.00000000e+00    6.00000000e+00
8        1.00000000e+00    3.00000000e+00    9.00000000e+00    6.75000000e+00
9        1.00000000e+00    3.00000000e+00    1.00000000e+01    7.50000000e+00
10       1.00000000e+00    3.00000000e+00    1.10000000e+01    8.25000000e+00
11       1.00000000e+00    3.00000000e+00    1.20000000e+01    9.00000000e+00
12       1.00000000e+00    3.00000000e+00    1.30000000e+01    9.75000000e+00
13       1.00000000e+00    3.00000000e+00    1.40000000e+01    1.05000000e+01
14       1.00000000e+00    3.00000000e+00    1.50000000e+01    1.12500000e+01
15       1.00000000e+00    3.00000000e+00    1.60000000e+01    1.20000000e+01
16       1.00000000e+00    3.00000000e+00    1.70000000e+01    1.27500000e+01
17       1.00000000e+00    3.00000000e+00    1.80000000e+01    1.35000000e+01
18       1.00000000e+00    3.00000000e+00    1.90000000e+01    1.42500000e+01
19       1.00000000e+00    3.00000000e+00    2.00000000e+01    1.50000000e+01
20       1.00000000e+00    3.00000000e+00    2.10000000e+01    1.57500000e+01
21       1.00000000e+00    3.00000000e+00    2.20000000e+01    1.65000000e+01
22       1.00000000e+00    3.00000000e+00    2.30000000e+01    1.72500000e+01
23       1.00000000e+00    3.00000000e+00    2.40000000e+01    1.80000000e+01
24       1.00000000e+00    3.00000000e+00    2.50000000e+01    1.87500000e+01
0        2.00000000e+00    3.00000000e+00    1.00000000e+00    6.00000000e-01
1        2.00000000e+00    3.00000000e+00    2.00000000e+00    1.20000000e+00
2        2.00000000e+00    3.00000000e+00    3.00000000e+00    1.80000000e+00
3        2.00000000e+00    3.00000000e+00    4.00000000e+00    2.40000000e+00
4        2.00000000e+00    3.00000000e+00    5.00000000e+00    3.00000000e+00
5        2.00000000e+00    3.00000000e+00    6.00000000e+00    3.60000000e+00
6        2.00000000e+00    3.00000000e+00    7.00000000e+00    4.20000000e+00
7        2.00000000e+00    3.00000000e+00    8.00000000e+00    4.80000000e+00
8        2.00000000e+00    3.00000000e+00    9.00000000e+00    5.40000000e+00
9        2.00000000e+00    3.00000000e+00    1.00000000e+01    6.00000000e+00
10       2.00000000e+00    3.00000000e+00    1.10000000e+01    6.60000000e+00
11       2.00000000e+00    3.00000000e+00    1.20000000e+01    7.20000000e+00
12       2.00000000e+00    3.00000000e+00    1.30000000e+01    7.80000000e+00
13       2.00000000e+00    3.00000000e+00    1.40000000e+01    8.40000000e+00
14       2.00000000e+00    3.00000000e+00    1.50000000e+01    9.00000000e+00
15       2.00000000e+00    3.00000000e+00    1.60000000e+01    9.60000000e+00
16       2.00000000e+00    3.00000000e+00    1.70000000e+01    1.02000000e+01
17       2.00000000e+00    3.00000000e+00    1.80000000e+01    1.08000000e+01
18       2.00000000e+00    3.00000000e+00    1.90000000e+01    1.14000000e+01
19       2.00000000e+00    3.00000000e+00    2.00000000e+01    1.20000000e+01
20       2.00000000e+00    3.00000000e+00    2.10000000e+01    1.26000000e+01
21       2.00000000e+00    3.00000000e+00    2.20000000e+01    1.32000000e+01
22       2.00000000e+00    3.00000000e+00    2.30000000e+01    1.38000000e+01
23       2.00000000e+00    3.00000000e+00    2.40000000e+01    1.44000000e+01
24       2.00000000e+00    3.00000000e+00    2.50000000e+01    1.50000000e+01
0        1.00000000e+00    8.00000000e+00    1.00000000e+00    8.88888889e-01
1        1.00000000e+00    8.00000000e+00    2.00000000e+00    1.77777778e+00
2        1.00000000e+00    8.00000000e+00    3.00000000e+00    2.66666667e+00
3        1.00000000e+00    8.00000000e+00    4.00000000e+00    3.55555556e+00
4        1.00000000e+00    8.00000000e+00    5.00000000e+00    4.44444444e+00
5        1.00000000e+00    8.00000000e+00    6.00000000e+00    5.33333333e+00
6        1.00000000e+00    8.00000000e+00    7.00000000e+00    6.22222222e+00
7        1.00000000e+00    8.00000000e+00    8.00000000e+00    7.11111111e+00
8        1.00000000e+00    8.00000000e+00    9.00000000e+00    8.00000000e+00
9        1.00000000e+00    8.00000000e+00    1.00000000e+01    8.88888889e+00
10       1.00000000e+00    8.00000000e+00    1.10000000e+01    9.77777778e+00
11       1.00000000e+00    8.00000000e+00    1.20000000e+01    1.06666667e+01
12       1.00000000e+00    8.00000000e+00    1.30000000e+01    1.15555556e+01
13       1.00000000e+00    8.00000000e+00    1.40000000e+01    1.24444444e+01
14       1.00000000e+00    8.00000000e+00    1.50000000e+01    1.33333333e+01
15       1.00000000e+00    8.00000000e+00    1.60000000e+01    1.42222222e+01
16       1.00000000e+00    8.00000000e+00    1.70000000e+01    1.51111111e+01
17       1.00000000e+00    8.00000000e+00    1.80000000e+01    1.60000000e+01
18       1.00000000e+00    8.00000000e+00    1.90000000e+01    1.68888889e+01
19       1.00000000e+00    8.00000000e+00    2.00000000e+01    1.77777778e+01
20       1.00000000e+00    8.00000000e+00    2.10000000e+01    1.86666667e+01
21       1.00000000e+00    8.00000000e+00    2.20000000e+01    1.95555556e+01
22       1.00000000e+00    8.00000000e+00    2.30000000e+01    2.04444444e+01
23       1.00000000e+00    8.00000000e+00    2.40000000e+01    2.13333333e+01
24       1.00000000e+00    8.00000000e+00    2.50000000e+01    2.22222222e+01
0        2.00000000e+00    8.00000000e+00    1.00000000e+00    8.00000000e-01
1        2.00000000e+00    8.00000000e+00    2.00000000e+00    1.60000000e+00
2        2.00000000e+00    8.00000000e+00    3.00000000e+00    2.40000000e+00
3        2.00000000e+00    8.00000000e+00    4.00000000e+00    3.20000000e+00
4        2.00000000e+00    8.00000000e+00    5.00000000e+00    4.00000000e+00
5        2.00000000e+00    8.00000000e+00    6.00000000e+00    4.80000000e+00
6        2.00000000e+00    8.00000000e+00    7.00000000e+00    5.60000000e+00
7        2.00000000e+00    8.00000000e+00    8.00000000e+00    6.40000000e+00
8        2.00000000e+00    8.00000000e+00    9.00000000e+00    7.20000000e+00
9        2.00000000e+00    8.00000000e+00    1.00000000e+01    8.00000000e+00
10       2.00000000e+00    8.00000000e+00    1.10000000e+01    8.80000000e+00
11       2.00000000e+00    8.00000000e+00    1.20000000e+01    9.60000000e+00
12       2.00000000e+00    8.00000000e+00    1.30000000e+01    1.04000000e+01
13       2.00000000e+00    8.00000000e+00    1.40000000e+01    1.12000000e+01
14       2.00000000e+00    8.00000000e+00    1.50000000e+01    1.20000000e+01
