Index        TIME          {V(2)+1.0}       {V(5)+1.0}       {V(7)+1.0}       {V(10)+1.0}      {V(11)+1.0}      {V(12)+1.0}      {V(13)+1.0}
0       0.00000000e+00   1.00000000e+00   1.00000000e+00   5.99999750e+00   6.00000000e+00   5.99999978e+00   5.99999863e+00   1.00000000e+00   
1       5.00000000e-12   1.00000000e+00   1.00000000e+00   5.99999750e+00   6.00000000e+00   5.99999978e+00   5.99999863e+00   1.00000000e+00   
2       1.50000000e-11   1.00000000e+00   1.00000000e+00   5.99999750e+00   6.00000000e+00   5.99999978e+00   5.99999863e+00   1.00000000e+00   
3       3.50000000e-11   1.00000000e+00   1.00000000e+00   5.99999750e+00   6.00000000e+00   5.99999978e+00   5.99999863e+00   1.00000000e+00   
4       7.50000000e-11   1.00000000e+00   1.00000000e+00   5.99999750e+00   6.00000000e+00   5.99999978e+00   5.99999863e+00   1.00000000e+00   
5       1.55000000e-10   1.00000000e+00   1.00000000e+00   5.99999749e+00   6.00000000e+00   5.99999978e+00   5.99999863e+00   1.00000000e+00   
6       2.55000000e-10   1.00000000e+00   1.00000000e+00   5.99999749e+00   6.00000000e+00   5.99999978e+00   5.99999863e+00   1.00000000e+00   
7       3.55000000e-10   1.00000000e+00   1.00000000e+00   5.99999749e+00   6.00000000e+00   5.99999978e+00   5.99999863e+00   1.00000000e+00   
8       4.55000000e-10   1.00000000e+00   1.00000000e+00   5.99999749e+00   6.00000000e+00   5.99999978e+00   5.99999863e+00   1.00000000e+00   
9       5.55000000e-10   1.00000000e+00   1.00000000e+00   5.99999748e+00   6.00000000e+00   5.99999978e+00   5.99999863e+00   1.00000000e+00   
10      6.55000000e-10   1.00000000e+00   1.00000000e+00   5.99999748e+00   6.00000000e+00   5.99999978e+00   5.99999863e+00   1.00000000e+00   
11      7.55000000e-10   1.00000000e+00   1.00000000e+00   5.99999748e+00   6.00000000e+00   5.99999978e+00   5.99999863e+00   1.00000000e+00   
12      8.55000000e-10   1.00000000e+00   1.00000000e+00   5.99999748e+00   6.00000000e+00   5.99999978e+00   5.99999863e+00   1.00000000e+00   
13      9.55000000e-10   1.00000000e+00   1.00000000e+00   5.99999747e+00   6.00000000e+00   5.99999978e+00   5.99999863e+00   1.00000000e+00   
14      1.00000000e-09   1.00000000e+00   1.00000000e+00   5.99999747e+00   6.00000000e+00   5.99999978e+00   5.99999863e+00   1.00000000e+00   
15      1.00349901e-09   1.00000000e+00   1.00349901e+00   6.00195009e+00   6.00000000e+00   6.00085033e+00   6.00224641e+00   1.00000000e+00   
16      1.00637082e-09   1.00000000e+00   1.00637082e+00   6.00357717e+00   6.00000000e+00   6.00151125e+00   6.00408840e+00   1.00000000e+00   
17      1.01211444e-09   1.00000000e+00   1.01211444e+00   6.00683257e+00   6.00000000e+00   6.00281462e+00   6.00776601e+00   1.00000000e+00   
18      1.02360170e-09   1.00000000e+00   1.02360170e+00   6.01334362e+00   6.00000000e+00   6.00538214e+00   6.01508736e+00   1.00000000e+00   
19      1.04657620e-09   1.00000000e+00   1.04657620e+00   6.02636397e+00   6.00000000e+00   6.01040250e+00   6.02959576e+00   1.00000000e+00   
20      1.09252521e-09   1.00000000e+00   1.09252521e+00   6.05238255e+00   6.00000000e+00   6.01998240e+00   6.05808509e+00   1.00000000e+00   
21      1.18442322e-09   1.00000000e+00   1.18442322e+00   6.10421136e+00   6.00000000e+00   6.03751297e+00   6.11303262e+00   1.00000000e+00   
22      1.27632124e-09   1.00000000e+00   1.27632124e+00   6.15557750e+00   6.00000000e+00   6.05312757e+00   6.16540016e+00   1.00026104e+00   
